real	34m55.755s
user	32m29.944s
sys	1m23.012s




total_elements, symbols, declare_fun, declare_sort, check_sat, assert, argument, push, pop, let_bindings, forall, exists, core_true, core_false, core_not, core_imply, core_and, core_or, core_xor, core_distinct, mult, plus, equals, int_le_or_gr, int_leq_or_grq, bvand, bvor, bvxor, bvnand, bvnor, bvcomp, bvadd, bvmul, bvs_l_g, bvs_le_ge, bvu_l_g, bvu_le_ge  

3, 3, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1291, 600, 68, 0, 1, 1, 0, 0, 0, 11, 0, 0, 0, 0, 20, 0, 1, 0, 0, 0, 0, 0, 61, 0, 0, 0, 24, 0, 0, 0, 0, 58, 1, 0, 12, 49, 118
63, 37, 12, 0, 1, 1, 0, 0, 0, 4, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 0, 19, 0, 0, 0, 1, 0
27, 13, 4, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 1, 0, 3
2089, 1245, 155, 0, 1, 1, 0, 0, 0, 101, 0, 0, 0, 0, 134, 0, 1, 0, 0, 0, 0, 0, 198, 0, 0, 7, 63, 0, 0, 0, 0, 375, 11, 2, 5, 51, 135
1429, 827, 155, 0, 1, 1, 0, 0, 0, 67, 0, 0, 0, 0, 84, 0, 1, 0, 0, 0, 0, 0, 141, 0, 0, 1, 63, 0, 0, 0, 0, 257, 11, 4, 3, 23, 97
1493, 861, 155, 0, 1, 1, 0, 0, 0, 70, 0, 0, 0, 0, 90, 0, 1, 0, 0, 0, 0, 0, 148, 0, 0, 3, 63, 0, 0, 0, 0, 262, 11, 2, 4, 39, 91
80, 47, 18, 0, 1, 1, 0, 0, 0, 5, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 0, 0, 0, 0, 18, 0, 0, 0, 1, 3
2539, 1542, 155, 0, 1, 1, 0, 0, 0, 138, 0, 0, 0, 0, 165, 0, 1, 0, 0, 0, 0, 0, 234, 0, 0, 9, 63, 0, 0, 0, 0, 470, 11, 3, 8, 79, 172
2076, 1238, 155, 0, 1, 1, 0, 0, 0, 100, 0, 0, 0, 0, 134, 0, 1, 0, 0, 0, 0, 0, 198, 0, 0, 7, 63, 0, 0, 0, 0, 374, 11, 4, 6, 44, 134
427, 274, 61, 0, 1, 1, 0, 0, 0, 21, 0, 0, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 49, 0, 0, 2, 31, 0, 0, 0, 0, 49, 0, 0, 0, 13, 23
22, 14, 9, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0
606, 382, 74, 0, 1, 1, 0, 0, 0, 29, 0, 0, 0, 0, 44, 0, 1, 0, 0, 0, 0, 0, 75, 0, 0, 9, 38, 0, 0, 0, 0, 67, 0, 0, 0, 20, 31
969, 616, 108, 0, 1, 1, 0, 0, 0, 47, 0, 0, 0, 0, 66, 0, 1, 0, 0, 0, 0, 0, 116, 0, 0, 17, 52, 0, 0, 0, 0, 120, 0, 0, 0, 32, 65
1740, 1132, 166, 0, 1, 1, 0, 0, 0, 86, 0, 0, 0, 0, 111, 0, 1, 0, 0, 0, 0, 0, 210, 0, 0, 27, 72, 0, 0, 0, 0, 251, 0, 0, 1, 68, 92
14, 7, 5, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0
941, 598, 105, 0, 1, 1, 0, 0, 0, 45, 0, 0, 0, 0, 65, 0, 1, 0, 0, 0, 0, 0, 114, 0, 0, 17, 51, 0, 0, 0, 0, 112, 0, 0, 0, 31, 56
1569, 693, 68, 0, 1, 1, 0, 0, 0, 13, 0, 0, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 64, 0, 0, 0, 24, 0, 0, 0, 0, 64, 1, 0, 8, 68, 138
1037, 663, 114, 0, 1, 1, 0, 0, 0, 55, 0, 0, 0, 0, 69, 0, 1, 0, 0, 0, 0, 0, 123, 0, 0, 18, 54, 0, 0, 0, 0, 131, 0, 0, 0, 38, 60
196, 112, 29, 0, 1, 1, 0, 0, 0, 16, 0, 0, 0, 0, 8, 0, 1, 0, 0, 0, 0, 0, 17, 0, 0, 0, 10, 0, 0, 0, 0, 45, 0, 0, 1, 0, 14
15, 11, 8, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88, 61, 26, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 8, 0, 1, 0, 0, 0, 0, 0, 18, 0, 0, 1, 14, 0, 0, 0, 0, 5, 0, 0, 1, 2, 3
226, 132, 26, 0, 1, 1, 0, 0, 0, 19, 0, 0, 0, 0, 12, 0, 1, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 0, 0, 0, 0, 61, 0, 1, 0, 0, 15
3075, 1828, 155, 0, 1, 1, 0, 0, 0, 131, 0, 0, 0, 0, 172, 0, 1, 0, 0, 0, 0, 0, 243, 0, 0, 9, 63, 0, 0, 0, 0, 564, 11, 10, 7, 112, 248
